FILIAL;REGIAO
3;Noroeste
4;Missoes
5;Noroeste
7;Noroeste
8;Noroeste
9;Noroeste
10;Noroeste
11;Missoes
12;Noroeste
13;Fronteira
14;Noroeste
15;Noroeste
16;Noroeste
17;Noroeste
18;Norte
19;Noroeste
20;Missoes
21;Noroeste
22;Missoes
23;Noroeste
24;Missoes
25;Norte
26;Noroeste
27;Norte
29;Missoes
30;Missoes
31;Norte
34;Noroeste
35;Missoes
36;Fronteira
37;Noroeste
38;Noroeste
39;Missoes
40;Chapeco
41;Noroeste
43;Fronteira
44;Fronteira
45;Centro
46;Missoes
47;Fronteira
48;Chapeco
49;Fronteira
50;Fronteira
51;Centro
52;Missoes
53;Norte
55;Grande Poa
56;Sinos-Litoral
58;Noroeste
59;Centro
60;Missoes
61;Missoes
62;Missoes
64;Centro
65;Fronteira
66;Grande Poa
68;Noroeste
69;Centro
71;Missoes
72;Missoes
73;Norte
75;Norte
76;Missoes
78;Sinos-Litoral
80;Missoes
81;Sul
82;Sinos-Litoral
83;Norte
84;Sinos-Litoral
85;Sul
86;Fronteira
88;Sul
89;Sinos-Litoral
90;Fronteira
92;Centro
93;Sul
94;Norte
95;Centro
97;Grande Poa
98;Serra
99;Dos Vales
101;Dos Vales
102;Lajeado
103;Sul
104;Centro
105;Sinos-Litoral
106;Sinos-Litoral
107;Grande Poa
108;Sul
109;Grande Poa
110;Grande Poa
111;Sinos-Litoral
112;Fronteira
113;Sinos-Litoral
114;Centro
115;Centro
117;Sinos-Litoral
118;Sinos-Litoral
120;Fronteira
121;Fronteira
122;Norte
123;Centro
124;Sinos-Litoral
126;Lajeado
127;Lajeado
128;Missoes
129;Sinos-Litoral
130;Centro
131;Lajeado
132;Lajeado
133;Centro
134;Serra
135;Criciuma
136;Serra
137;Dos Vales
138;Dos Vales
139;Lajeado
140;Lajeado
141;Centro
142;Centro
143;Dos Vales
144;Dos Vales
145;Dos Vales
146;Dos Vales
147;Dos Vales
148;Dos Vales
149;Dos Vales
151;Dos Vales
152;Dos Vales
153;Centro
154;Dos Vales
155;Lajeado
156;Dos Vales
159;Dos Vales
160;Lajeado
161;Lajeado
166;Lajeado
167;Serra
169;Sinos-Litoral
170;Centro
171;Missoes
172;Fronteira
173;Sinos-Litoral
174;Dos Vales
175;Sinos-Litoral
176;Noroeste
177;Fronteira
178;Serra
179;Serra
180;Sul
181;Dos Vales
182;Sul
183;Serra
184;Lajeado
185;Serra
186;Missoes
187;Grande Poa
188;Sul
189;Serra
190;Sul
191;Sul
192;Sinos-Litoral
193;Serra
194;Centro
195;Sul
196;Norte
197;Norte
198;Serra
199;Lajeado
201;Sinos-Litoral
202;Serra
204;Serra
205;Grande Poa
206;Serra
207;Chapeco
208;Chapeco
209;Serra
213;Norte
215;Sul
216;Centro
217;Centro
218;Serra
219;Sul
220;Chapeco
221;Norte
222;Lages
223;Norte
224;Norte
225;Chapeco
226;Centro
227;Chapeco
229;Grande Poa
230;Grande Poa
231;Lajeado
232;Pato Branco
233;Ponta Grossa
234;Lages
235;Chapeco
236;Lages
238;Cascavel
239;Cascavel
240;Pato Branco
241;Norte
244;Lages
245;Pato Branco
246;Lages
247;Sul
248;Pato Branco
249;Blumenau
250;Lages
252;Lages
253;Lages
255;Sinos-Litoral
256;Pato Branco
257;Serra
258;Grande Poa
259;Grande Poa
260;Grande Poa
261;Fronteira
262;Grande Poa
263;Grande Poa
264;Grande Poa
265;Sul
266;Grande Poa
267;Grande Poa
268;Lages
269;Blumenau
270;Sul
271;Fronteira
272;Lajeado
273;Blumenau
274;Pato Branco
275;Chapeco
276;Blumenau
277;Dos Vales
278;Lajeado
280;Noroeste
281;Chapeco
282;Blumenau
283;Lages
284;Serra
285;Sinos-Litoral
286;Norte
287;Centro
288;Noroeste
289;Serra
290;Lages
291;Sul
292;Lajeado
293;Sul
294;Blumenau
295;Dos Vales
296;Norte
297;Norte
298;Lajeado
299;Grande Poa
